=== SAMPLE 6 (Set) START ===
F0:[112,73,126,20,24,234,187,173,55]
F1:[116,76,128,20,37,229,193,175,132]
F2:[114,76,130,110,88,198,187,177,126]
F3:[112,78,128,12,50,224,182,173,126]
F4:[115,74,126,38,62,219,206,176,131]
F5:[83,109,128,76,62,219,184,175,96]
F6:[73,110,126,38,50,193,208,172,118]
F7:[79,114,126,32,75,198,193,171,134]
F8:[72,113,128,6,88,204,189,174,121]
F9:[76,113,126,24,50,224,204,175,132]
F10:[106,86,126,24,50,224,206,172,158]
F11:[117,75,128,32,62,209,195,172,139]
F12:[122,74,126,152,24,209,201,170,133]
F13:[118,79,126,108,37,214,195,175,124]
F14:[119,69,128,34,62,209,197,173,129]
F15:[87,103,126,8,88,219,193,174,96]
F16:[79,111,126,22,50,224,197,173,120]
F17:[76,110,126,4,88,229,187,175,125]
F18:[75,122,128,164,62,229,191,179,127]
F19:[74,112,126,50,50,209,206,174,127]
F20:[135,118,126,32,62,214,201,173,189]
F21:[195,114,126,92,37,209,189,173,188]
F22:[191,135,128,14,37,224,206,177,124]
F23:[188,114,128,54,37,224,178,176,125]
F24:[189,126,126,48,62,219,191,171,129]
F25:[192,92,126,44,75,219,201,172,131]
F26:[193,99,128,4,50,204,180,173,129]
F27:[194,61,130,102,37,204,180,176,129]
F28:[186,90,128,44,75,204,204,171,120]
F29:[185,76,128,14,75,229,184,179,127]
F30:[188,90,126,4,101,224,191,173,131]
F31:[196,131,126,24,75,224,210,172,136]
F32:[192,119,128,38,75,219,201,172,124]
F33:[189,125,128,166,50,214,182,175,125]
F34:[188,126,128,132,24,224,184,174,127]
F35:[190,112,126,96,62,219,191,173,130]
F36:[194,71,128,156,50,229,204,177,132]
F37:[193,80,128,4,50,224,191,175,127]
F38:[188,87,126,14,24,234,206,177,123]
F39:[185,65,126,10,75,234,180,172,125]
=== SAMPLE 6 STOP ===
