=== SAMPLE 3 (Down) START ===
F0:[126,109,126,36,50,214,195,173,70]
F1:[124,113,128,36,62,219,197,170,126]
F2:[120,109,126,52,62,209,195,175,124]
F3:[127,121,128,72,50,229,189,173,135]
F4:[118,108,126,66,88,224,189,174,119]
F5:[156,111,128,46,75,204,199,175,166]
F6:[158,115,126,74,62,224,199,174,130]
F7:[161,118,128,16,37,234,199,179,131]
F8:[160,113,128,90,75,209,193,172,127]
F9:[161,107,126,18,75,234,191,172,129]
F10:[136,114,126,34,62,209,201,173,103]
F11:[119,101,128,152,11,204,195,173,111]
F12:[131,114,126,76,37,219,195,171,140]
F13:[118,108,126,34,37,219,204,175,115]
F14:[128,119,126,70,50,229,197,174,138]
F15:[141,108,128,40,24,214,191,170,141]
F16:[161,117,128,62,50,209,189,175,148]
F17:[160,111,128,34,75,234,167,173,127]
F18:[160,110,128,56,37,209,187,171,128]
F19:[158,109,126,112,75,214,195,173,126]
F20:[175,72,128,52,75,219,201,176,145]
F21:[187,30,128,8,62,224,187,176,140]
F22:[186,34,126,28,75,219,201,175,127]
F23:[182,30,126,30,50,224,201,176,124]
F24:[181,30,126,156,75,224,193,173,127]
F25:[186,87,128,68,50,214,182,171,133]
F26:[192,183,130,218,62,193,180,177,134]
F27:[191,194,128,182,50,224,180,173,127]
F28:[188,170,128,108,50,229,197,172,125]
F29:[189,206,128,8,88,229,197,176,129]
F30:[189,147,128,66,75,219,191,174,128]
F31:[188,30,130,48,37,209,187,178,127]
F32:[187,30,128,30,88,183,195,177,127]
F33:[182,30,128,124,11,209,197,174,123]
F34:[181,30,128,16,62,229,195,174,127]
F35:[184,41,126,80,37,219,193,171,131]
F36:[191,203,128,86,62,188,182,174,135]
F37:[191,170,128,82,75,204,189,175,128]
F38:[190,206,126,100,37,224,195,173,127]
F39:[188,172,126,94,62,214,199,173,126]
=== SAMPLE 3 STOP ===
