=== SAMPLE 5 (flower2) START ===
F0:[115,51,128,48,37,204,197,175,52]
F1:[87,83,128,100,37,214,199,177,100]
F2:[75,102,126,118,62,224,195,173,116]
F3:[111,61,128,138,50,214,182,176,164]
F4:[107,57,128,40,88,229,191,177,124]
F5:[89,50,126,4,88,224,197,175,110]
F6:[83,41,128,26,24,214,208,175,122]
F7:[110,49,126,40,62,229,195,171,155]
F8:[91,55,128,24,37,224,187,177,109]
F9:[97,53,126,170,50,219,191,174,134]
F10:[119,65,128,92,50,204,197,175,150]
F11:[80,87,126,12,75,239,193,173,89]
F12:[78,91,128,66,242,219,191,174,126]
F13:[122,64,126,20,75,229,199,174,172]
F14:[96,58,128,10,50,219,170,173,102]
F15:[83,68,126,26,75,214,206,172,115]
F16:[107,56,126,62,62,224,197,173,152]
F17:[96,48,128,36,62,219,201,177,117]
F18:[87,42,126,86,50,229,197,173,119]
F19:[86,47,126,70,50,198,195,173,127]
F20:[129,56,128,130,11,204,193,177,171]
F21:[192,52,126,172,75,224,193,175,191]
F22:[195,49,128,120,75,224,195,173,131]
F23:[186,58,128,14,75,224,195,179,119]
F24:[178,74,128,38,37,204,189,171,120]
F25:[191,28,128,30,37,229,201,176,141]
F26:[192,60,128,94,255,219,195,173,129]
F27:[189,78,126,18,88,229,201,175,125]
F28:[185,11,126,18,62,239,197,177,124]
F29:[184,12,128,86,50,214,206,172,127]
F30:[186,87,126,124,62,219,189,171,130]
F31:[196,39,126,4,75,219,206,171,138]
F32:[195,49,128,44,50,204,201,179,127]
F33:[184,52,126,48,75,214,193,173,117]
F34:[178,70,128,22,50,224,195,177,122]
F35:[188,33,128,40,62,214,189,178,138]
F36:[192,53,128,166,62,214,193,175,132]
F37:[190,88,128,38,50,204,201,171,126]
F38:[189,11,128,42,24,219,204,174,127]
F39:[184,47,126,46,75,224,201,177,123]
=== SAMPLE 5 STOP ===
