=== SAMPLE 5 (House) START ===
F0:[183,65,128,50,37,224,204,174,127]
F1:[183,88,128,166,37,224,182,174,128]
F2:[179,69,128,36,50,209,206,177,124]
F3:[177,73,126,20,88,229,189,173,126]
F4:[177,80,126,60,62,224,193,174,128]
F5:[156,124,128,90,75,214,195,178,107]
F6:[147,124,128,112,255,234,187,174,119]
F7:[149,137,126,28,75,214,208,174,130]
F8:[146,117,126,46,255,219,204,166,125]
F9:[146,130,128,46,37,214,201,179,128]
F10:[178,83,128,94,37,214,199,174,160]
F11:[184,82,126,14,37,234,199,175,134]
F12:[181,71,128,20,62,224,199,177,125]
F13:[178,73,128,40,50,209,197,175,125]
F14:[174,76,128,36,50,219,195,179,124]
F15:[156,117,128,18,37,229,206,176,110]
F16:[149,131,126,30,50,224,206,179,121]
F17:[147,123,128,34,50,214,204,180,126]
F18:[147,130,126,168,50,229,197,176,128]
F19:[150,124,126,14,75,224,199,175,131]
F20:[171,140,128,162,62,224,191,171,149]
F21:[194,134,126,6,88,229,195,173,151]
F22:[192,114,128,72,37,219,189,176,126]
F23:[189,146,126,72,62,219,189,177,125]
F24:[188,108,126,12,50,244,193,176,127]
F25:[192,82,128,130,11,214,180,175,132]
F26:[198,15,126,38,75,239,206,174,134]
F27:[198,7,126,46,37,214,193,173,128]
F28:[188,15,126,106,62,219,195,175,118]
F29:[186,7,128,40,75,219,197,176,126]
F30:[189,64,128,176,50,214,191,177,131]
F31:[196,106,128,84,62,219,189,176,135]
F32:[191,143,126,34,37,214,195,176,123]
F33:[190,117,126,80,50,224,201,174,127]
F34:[189,138,126,50,75,214,199,173,127]
F35:[189,97,126,110,62,234,195,175,128]
F36:[198,7,126,88,62,219,172,170,137]
F37:[198,15,128,126,62,219,189,175,128]
F38:[191,7,126,58,50,219,195,175,121]
F39:[186,15,128,138,24,219,193,176,123]
=== SAMPLE 5 STOP ===
