=== SAMPLE 0 (House) START ===
F0:[159,116,128,178,37,214,180,173,102]
F1:[154,128,128,166,50,214,184,173,123]
F2:[153,110,128,140,75,229,193,176,127]
F3:[157,121,126,22,24,234,204,171,132]
F4:[151,107,126,24,50,224,206,170,122]
F5:[157,103,128,54,37,204,197,178,134]
F6:[151,106,128,144,37,214,197,171,122]
F7:[156,101,126,98,62,229,184,179,133]
F8:[153,102,126,146,50,224,193,170,125]
F9:[154,99,128,110,62,209,184,176,129]
F10:[160,126,128,46,62,214,204,176,134]
F11:[155,112,126,50,50,224,195,175,123]
F12:[156,116,128,136,37,224,193,175,129]
F13:[159,124,128,56,37,219,182,172,131]
F14:[152,106,126,4,101,214,199,173,121]
F15:[154,117,128,108,75,219,189,175,130]
F16:[156,99,128,72,24,229,187,173,130]
F17:[153,105,124,20,75,224,206,177,125]
F18:[153,99,126,22,62,219,201,175,128]
F19:[155,112,128,56,24,204,191,177,130]
F20:[169,67,126,40,62,234,199,172,142]
F21:[184,25,128,120,62,204,191,172,143]
F22:[188,34,126,32,50,214,199,174,132]
F23:[185,41,126,48,75,219,197,175,125]
F24:[183,21,128,110,75,204,191,176,126]
F25:[188,19,128,48,37,219,197,177,133]
F26:[193,0,126,10,62,234,204,174,133]
F27:[193,0,128,148,75,229,199,176,128]
F28:[183,0,128,46,37,214,201,179,118]
F29:[181,0,126,8,88,219,206,171,126]
F30:[180,15,126,14,50,239,197,176,127]
F31:[188,24,128,92,50,229,189,175,136]
F32:[184,39,128,92,37,214,193,178,124]
F33:[186,21,126,40,24,209,195,178,130]
F34:[185,39,126,62,62,204,195,176,127]
F35:[184,20,128,116,62,214,193,175,127]
F36:[193,0,128,4,101,214,184,175,137]
F37:[194,0,128,108,62,209,191,176,129]
F38:[185,0,126,6,88,214,199,174,119]
F39:[182,0,128,190,62,198,193,175,125]
=== SAMPLE 0 STOP ===
