=== SAMPLE 4 (Start) START ===
F0:[172,78,126,58,75,229,195,173,113]
F1:[173,84,126,4,75,224,208,178,129]
F2:[173,85,128,98,11,209,195,175,128]
F3:[167,78,128,52,62,214,201,173,122]
F4:[169,74,128,32,24,234,197,176,130]
F5:[186,28,126,4,101,204,201,176,145]
F6:[182,41,126,116,62,229,180,173,124]
F7:[184,23,128,60,24,214,182,176,130]
F8:[174,38,126,10,88,224,201,174,118]
F9:[177,25,128,154,37,209,191,174,131]
F10:[170,75,126,28,88,219,193,171,121]
F11:[176,70,126,14,62,234,199,172,134]
F12:[172,90,128,20,50,229,187,173,124]
F13:[168,71,126,76,37,204,187,173,124]
F14:[169,92,128,126,62,204,195,178,129]
F15:[179,43,126,100,11,224,193,174,138]
F16:[188,23,126,10,62,224,199,170,137]
F17:[182,38,128,242,62,219,195,173,122]
F18:[177,25,130,44,75,178,189,176,123]
F19:[175,35,128,114,37,204,182,173,126]
F20:[185,84,126,94,50,214,195,174,138]
F21:[195,102,126,78,62,219,191,172,138]
F22:[194,88,126,28,50,214,195,175,127]
F23:[187,117,128,68,50,224,182,169,121]
F24:[186,82,124,104,75,229,193,170,127]
F25:[189,117,128,116,37,214,191,177,131]
F26:[194,99,128,40,37,198,195,173,133]
F27:[193,123,128,162,37,214,184,175,127]
F28:[188,115,126,16,88,229,201,179,123]
F29:[187,108,128,104,62,204,172,177,127]
F30:[189,131,126,22,75,229,193,173,130]
F31:[197,78,126,24,62,219,206,173,136]
F32:[193,123,126,20,75,229,197,173,124]
F33:[189,82,128,74,75,209,189,173,124]
F34:[187,115,126,76,50,229,189,170,126]
F35:[188,82,126,48,88,209,204,175,129]
F36:[193,116,126,18,37,229,206,171,133]
F37:[193,124,128,64,37,214,178,175,128]
F38:[190,106,126,80,62,224,191,177,125]
F39:[188,129,126,12,75,219,191,175,126]
=== SAMPLE 4 STOP ===
